,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuadro 26A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medición multidimensional de la pobreza*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porcentaje y número de personas en los componentes de rezago educativo, según entidad federativa, 2016 - 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Entidad Federativa,Rezago educativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Porcentaje ,,,,,,,,,,,,,,,,,,,,,,,,,,Miles de personas,,,,,,,,,,,,,,,,,,,,,,,,
,,,Población de 3 a 21 años que no asiste a la escuela y no cuenta con educación obligatoria1 ,,,,Población de 22 años o más nacida a partir de 1998 sin educación media superior completa2,,Población de 16 años o más nacida entre 1982 y 1997 sin secundaria completa,,,,,Población de 16 años o más nacida antes de 1982 sin primaria completa,,,,,Población sin educación obligatoria3,,,,,,,,,,Población de 3 a 21 años que no asiste a la escuela y no cuenta con educación obligatoria1,,,,Población de 22 años o más nacida a partir de 1998 sin educación media superior completa2,,Población de 16 años o más nacida entre 1982 y 1997 sin secundaria completa,,,,,Población de 16 años o más nacida antes de 1982 sin primaria completa,,,,,Población sin educación obligatoria3,,,,,,,,
,,,,,,,,,,,,,,,,,,,Tasa de inasistencia para la población de 3 a 15 años,,,,,Tasa de inasistencia para la población de 16 a 21 años,,,,,,,,,,,,,,,,,,,,,Tasa de inasistencia para la población de 3 a 15 años,,,,,Tasa de inasistencia para la población de 16 a 21 años,,,
,,,2016,2018,2020,2022**,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**
,,Aguascalientes,15.1,15.7,17.0,18.0,36.1,,13.9,11.8,10.6,10.1,,20.0,20.0,18.2,18.4,,9.7,9.4,10.0,9.3,,45.9,50.2,54.7,60.7,,64.3,72.7,84.4,95.0,26.7,,46.9,39.7,34.9,32.9,,96.5,101.5,95.9,90.2,,33.6,31.1,32.7,33.4,,30.6,41.5,51.7,61.7
,,Baja California,12.9,16.1,17.8,15.7,28.9,,15.3,16.0,14.2,14.0,,15.6,17.4,16.4,15.5,,10.1,11.4,11.3,11.2,,28.4,40.9,51.3,46.2,,138.1,191.5,213.5,181.1,66.9,,144.9,154.1,128.6,134.7,,226.4,250.8,239.4,211.6,,87.5,95.2,88.4,84.8,,50.6,96.3,125.1,96.3
,,Baja California Sur,11.6,12.1,12.1,12.3,30.7,,14.4,13.9,12.4,11.2,,17.7,16.2,18.4,16.8,,8.5,7.7,7.2,7.3,,30.6,36.0,43.0,43.0,,24.3,28.2,31.0,30.8,12.6,,27.2,28.6,25.2,24.2,,51.8,46.7,56.1,51.8,,14.5,13.0,12.6,12.3,,9.9,15.2,18.4,18.5
,,Campeche,11.2,16.7,15.1,15.0,40.4,,14.6,14.7,14.7,14.9,,27.5,27.6,26.7,28.9,,6.9,10.8,8.9,8.6,,33.7,44.7,47.9,51.7,,28.1,47.8,45.9,46.9,18.1,,31.5,32.7,32.6,34.2,,95.0,89.9,94.4,93.9,,14.1,22.4,18.5,19.1,,14.0,25.3,27.3,27.7
,,Coahuila de Zaragoza,13.3,16.6,16.3,15.8,38.3,,11.0,9.6,9.1,8.6,,17.6,16.7,15.9,12.7,,8.6,10.2,9.0,9.9,,38.7,49.3,56.3,53.0,,119.9,169.1,169.0,168.0,59.3,,78.5,65.3,64.0,64.3,,208.0,200.0,197.7,148.8,,63.3,75.6,63.6,73.5,,56.7,93.5,105.4,94.5
,,Colima,10.0,14.1,16.5,13.5,27.7,,16.7,15.9,14.1,13.2,,24.2,24.9,21.6,18.7,,6.6,8.7,9.2,7.6,,32.1,41.5,52.0,46.5,,20.0,31.0,38.2,32.6,11.3,,30.4,28.9,24.1,23.8,,68.6,71.2,64.3,52.9,,11.0,13.8,14.2,12.6,,9.0,17.3,24.1,20.0
,,Chiapas,16.1,20.2,21.5,19.6,46.5,,33.5,34.0,34.4,35.9,,47.4,48.6,47.2,45.0,,10.9,13.0,13.5,13.2,,47.7,55.3,62.8,61.7,,290.4,421.6,452.0,422.6,107.7,,428.6,419.1,424.2,454.4,,844.4,826.9,884.9,787.7,,162.0,204.0,200.2,214.1,,128.5,217.5,251.8,208.5
,,Chihuahua,14.9,17.5,17.9,18.0,32.7,,16.1,15.2,13.2,12.6,,21.8,19.9,17.2,15.6,,11.1,12.2,12.7,12.2,,38.1,46.6,49.9,50.4,,166.2,211.7,222.3,217.9,67.5,,139.7,130.9,112.3,107.9,,309.5,289.1,249.1,219.4,,101.6,104.8,105.4,98.8,,64.6,106.8,116.9,119.1
,,Ciudad de México,7.4,10.2,10.2,9.7,30.7,,7.1,6.8,6.3,6.6,,11.1,10.9,10.5,9.5,,4.8,5.6,7.0,5.2,,20.1,30.4,29.4,33.1,,152.6,237.6,230.6,221.9,137.5,,165.0,161.5,141.0,140.8,,493.8,466.0,454.7,402.2,,78.6,88.1,103.3,75.8,,74.0,149.5,127.4,146.2
,,Durango,14.0,16.2,16.1,16.6,41.9,,12.6,11.9,10.7,12.9,,21.8,21.3,22.7,20.9,,9.2,8.7,8.1,9.2,,40.0,52.5,58.0,58.5,,75.0,100.5,103.3,110.2,37.5,,53.4,48.1,44.5,50.7,,151.8,144.1,153.4,135.5,,39.9,38.4,36.7,43.4,,35.1,62.0,66.6,66.8
,,Guanajuato,14.6,18.6,21.6,20.2,47.7,,20.9,20.1,17.4,17.4,,30.8,30.3,29.3,28.1,,9.0,10.2,10.7,10.9,,43.7,57.7,63.7,62.0,,275.7,392.4,449.0,438.2,153.7,,306.5,299.4,250.9,249.5,,708.1,659.0,671.1,592.5,,136.7,157.0,142.2,166.9,,139.0,235.4,306.8,271.4
