,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuadro 26F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medición multidimensional de la pobreza*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porcentaje y número de personas en los componentes de carencia por acceso a la alimentación nutritiva y de calidad, según entidad federativa, 2016 - 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Entidad Federativa,Carencia por acceso a la alimentación nutritiva y de calidad1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Porcentaje ,,,,,,,,,,,,,,,,,,,,,,,,,Miles de personas ,,,,,,,,,,,,,,,,,,,,,,,
,,,Seguridad alimentaria,,,,,Inseguridad alimentaria leve,,,,,Inseguridad alimentaria moderada,,,,,Inseguridad alimentaria severa,,,,,Limitación en el consumo de alimentos2,,,,,Seguridad alimentaria,,,,,Inseguridad alimentaria leve,,,,,Inseguridad alimentaria moderada,,,,,Inseguridad alimentaria severa,,,,,Limitación en el consumo de alimentos2,,,
,,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**
,,Aguascalientes,65.5,72.3,67.0,72.2,,17.3,14.7,15.5,12.6,,9.6,7.4,9.9,7.7,,7.6,5.6,7.5,7.5,,1.6,1.3,1.5,1.1,,863.4,992.9,961.9,"1,071.4",,227.6,202.5,222.7,187.3,,126.3,101.9,142.4,113.8,,100.3,76.5,108.1,111.2,,20.8,18.0,22.0,17.0
,,Baja California,72.7,74.9,71.1,83.1,,12.3,11.0,16.3,8.0,,8.7,7.9,8.0,5.6,,6.2,6.3,4.6,3.2,,2.1,1.0,1.4,1.4,,"2,637.2","2,804.9","2,689.6","3,177.0",,446.1,411.7,614.9,307.4,,315.4,295.3,304.5,215.7,,226.5,234.8,174.7,122.0,,75.9,39.3,52.9,53.4
,,Baja California Sur,64.4,66.5,59.8,74.5,,16.4,15.7,17.5,11.9,,11.4,10.3,13.8,7.9,,7.8,7.5,8.9,5.8,,2.0,1.6,1.7,1.3,,465.0,506.1,483.8,626.4,,118.6,119.3,141.8,99.9,,82.5,78.5,111.4,66.6,,56.1,57.3,72.4,48.5,,14.2,12.2,13.9,10.9
,,Campeche,52.6,52.0,53.2,63.4,,21.8,20.6,22.3,16.6,,14.9,16.0,15.5,10.5,,10.7,11.5,9.0,9.5,,5.6,4.4,3.7,3.8,,450.9,457.6,497.0,602.7,,187.0,180.8,208.4,157.4,,127.5,140.6,144.9,99.7,,92.0,100.9,84.3,90.8,,48.2,38.4,34.4,36.0
,,Coahuila de Zaragoza,67.9,67.7,68.4,75.5,,16.0,14.0,16.4,11.9,,9.1,10.2,9.0,7.2,,7.0,8.1,6.2,5.4,,1.1,0.6,0.6,0.9,,"2,006.2","2,064.6","2,168.9","2,470.4",,473.1,428.5,519.0,391.0,,270.1,309.8,285.6,234.5,,206.5,247.4,196.8,177.3,,31.5,19.8,17.6,29.5
,,Colima,61.3,62.0,66.9,74.5,,17.6,16.3,16.5,12.3,,12.7,12.7,8.8,8.4,,8.4,8.9,7.8,4.8,,1.6,2.6,1.7,1.1,,428.5,448.3,491.4,574.2,,123.1,118.1,121.1,94.6,,89.0,91.7,64.4,64.9,,58.8,64.6,57.5,37.3,,10.9,18.9,12.5,8.7
,,Chiapas,51.0,47.8,51.4,56.4,,29.6,29.8,27.4,26.4,,13.1,14.6,12.3,12.0,,6.3,7.8,8.8,5.2,,5.6,4.8,5.0,4.8,,"2,642.1","2,554.1","2,874.4","3,214.1",,"1,532.4","1,593.8","1,532.8","1,502.8",,680.1,778.3,688.6,682.6,,326.5,415.1,491.7,298.4,,290.0,256.4,281.4,270.9
