,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuadro 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medición multidimensional de la pobreza*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porcentaje, número de personas y carencias promedio de la población en situación de pobreza por grupos etarios, según entidad federativa, 2016 - 2022, parte I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,"Entidad 
federativa",Población jóven1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Población menor de 18 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Población de 65 años o más,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Población entre 12 y 29 años,,,,,,,,,,,,,,,Población de 11 años o menos y de 30 años o más,,,,,,,,,,,,,,,Población menor de 18 años,,,,,,,,,,,,,,,Población de 18 años o más,,,,,,,,,,,,,,,Población de 65 años o más,,,,,,,,,,,,,,,Población menor de 65 años,,,,,,,,,,,,,
,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,
,,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**
,,Aguascalientes,29.3,27.3,27.5,25.1,,126.1,122.9,130.5,118.8,,1.9,1.8,2.1,2.1,,28.8,25.7,27.7,23.1,,255.3,238.0,266.0,233.2,,1.7,1.6,1.9,1.9,,35.2,31.0,35.1,30.9,,165.7,140.3,153.7,147.8,,1.7,1.6,1.9,1.9,,25.5,23.9,24.3,20.3,,215.7,220.5,242.8,204.1,,1.8,1.7,1.9,2.1,,31.0,27.3,28.3,19.5,,25.2,28.0,31.6,23.2,,1.8,1.7,1.8,1.9,,28.8,26.2,27.6,24.1,,356.2,332.8,364.9,328.8,,1.7,1.7,1.9,2.0
,,Baja California,21.8,24.2,22.6,14.3,,260.0,285.4,262.8,170.4,,1.9,2.0,2.0,2.3,,23.0,23.3,22.5,13.0,,559.5,598.8,588.9,340.7,,1.8,1.9,1.9,2.2,,28.8,29.4,30.1,17.9,,334.9,333.2,316.9,177.5,,1.8,1.9,1.9,2.3,,19.7,21.1,19.6,11.8,,484.6,551.0,534.8,333.5,,1.9,1.9,2.0,2.2,,23.7,27.1,18.7,14.0,,43.6,67.0,57.0,42.8,,1.9,1.8,1.7,2.0,,22.5,23.4,22.8,13.3,,775.8,817.2,794.7,468.2,,1.9,1.9,2.0,2.3
,,Baja California Sur,22.3,18.0,27.7,13.0,,49.1,43.1,66.4,32.6,,2.0,2.1,2.1,2.0,,23.1,18.9,27.6,13.5,,116.1,98.3,157.1,79.5,,2.0,2.0,2.0,2.0,,27.8,23.7,34.4,18.0,,63.6,54.4,80.0,39.9,,2.0,2.0,1.9,1.9,,20.6,16.4,24.9,11.7,,101.7,87.0,143.4,72.2,,2.0,2.1,2.1,2.1,,29.0,24.1,25.2,12.8,,11.3,11.3,15.0,8.5,,1.9,1.8,1.9,2.0,,22.5,18.2,27.8,13.4,,153.9,130.0,208.4,103.7,,2.0,2.0,2.1,2.0
,,Campeche,46.6,50.1,53.4,47.2,,122.1,134.1,149.3,130.4,,2.4,2.5,2.5,2.8,,45.2,48.5,49.3,44.3,,269.4,296.7,323.2,298.6,,2.4,2.5,2.5,2.7,,54.5,56.3,59.6,55.0,,153.0,159.1,166.2,161.3,,2.3,2.4,2.4,2.7,,41.4,45.5,46.7,40.7,,238.5,271.8,306.3,267.7,,2.4,2.5,2.5,2.8,,45.5,43.6,42.0,36.5,,26.0,26.0,30.2,28.4,,2.6,2.6,2.5,2.5,,45.7,49.4,51.3,45.9,,365.4,404.9,442.2,400.6,,2.4,2.4,2.5,2.7
,,Coahuila de Zaragoza,27.8,26.1,27.0,19.3,,246.9,240.3,252.6,184.3,,1.9,2.0,2.0,2.2,,26.7,25.2,25.0,17.8,,552.9,537.8,559.5,412.8,,1.8,1.7,1.9,2.0,,32.2,31.3,30.7,23.4,,325.5,315.0,286.0,230.3,,1.7,1.8,1.9,2.0,,24.4,22.7,23.5,16.0,,474.3,463.1,526.2,366.8,,1.9,1.8,2.0,2.0,,29.6,28.7,25.0,17.5,,62.9,69.6,73.2,47.3,,1.6,1.6,1.7,1.7,,26.9,25.2,25.7,18.3,,736.9,708.5,739.0,549.8,,1.8,1.8,2.0,2.1
,,Colima,31.9,30.6,28.1,20.0,,66.2,68.4,59.8,45.6,,2.1,2.0,2.0,2.0,,32.8,30.3,26.1,20.8,,161.3,151.4,136.2,112.8,,2.0,2.0,2.0,2.0,,39.7,38.3,34.5,25.9,,88.9,82.7,70.1,56.6,,1.9,1.9,1.9,1.9,,29.1,27.1,23.7,18.4,,138.6,137.1,126.0,101.8,,2.1,2.0,2.1,2.1,,32.5,31.2,23.4,19.7,,17.0,18.6,17.1,13.4,,2.0,2.0,2.1,1.8,,32.5,30.3,27.1,20.6,,210.5,201.2,178.9,145.0,,2.0,2.0,2.0,2.0
,,Chiapas,78.9,79.6,77.5,68.8,,"1,325.6","1,374.2","1,341.6","1,123.1",,2.6,2.7,2.9,3.2,,77.5,77.2,74.6,66.8,,"2,711.1","2,791.8","2,876.5","2,715.6",,2.6,2.7,2.9,3.2,,84.3,84.5,82.7,77.3,,"1,695.3","1,799.7","1,627.3","1,631.2",,2.5,2.7,2.8,3.1,,73.9,73.7,71.6,61.5,,"2,341.5","2,366.3","2,590.8","2,207.5",,2.7,2.8,2.9,3.2,,79.6,74.4,65.9,54.8,,257.9,225.4,300.4,249.0,,2.8,3.0,3.0,3.0,,77.8,78.2,76.3,68.5,,"3,778.8","3,940.5","3,917.6","3,589.7",,2.6,2.7,2.9,3.2
,,Chihuahua,29.8,25.0,25.9,18.2,,330.6,287.7,298.9,214.2,,2.0,2.0,2.1,2.3,,31.1,27.4,25.0,17.3,,773.3,693.3,653.5,454.9,,1.9,1.9,2.0,2.1,,36.2,33.0,32.3,23.2,,451.1,385.9,362.0,250.3,,1.9,1.9,2.0,2.1,,27.8,23.7,22.3,15.3,,652.9,595.0,590.5,418.7,,2.0,1.9,2.1,2.2,,38.6,31.8,23.7,17.2,,89.5,94.6,75.1,57.5,,2.0,1.8,2.0,1.9,,30.2,26.2,25.5,17.6,,"1,014.5",886.4,877.4,611.5,,1.9,1.9,2.0,2.2
,,Ciudad de México,30.4,33.3,37.8,30.7,,776.5,878.0,924.0,747.6,,1.9,2.0,2.1,2.2,,25.1,28.6,30.7,21.6,,"1,648.2","1,877.9","2,085.4","1,482.5",,1.8,1.8,2.0,2.0,,39.1,41.6,41.2,34.3,,865.1,867.1,796.9,655.4,,1.8,1.8,2.0,2.1,,22.6,26.6,30.3,21.3,,"1,559.6","1,888.9","2,212.5","1,574.6",,1.9,1.8,2.0,2.1,,17.7,24.6,24.4,16.7,,170.6,239.2,293.6,212.4,,1.7,1.7,1.7,1.7,,27.6,30.6,33.8,25.1,,"2,254.1","2,516.8","2,715.8","2,017.7",,1.9,1.9,2.1,2.1
,,Durango,37.9,38.4,39.0,35.3,,201.1,213.3,213.3,198.2,,1.9,1.8,2.0,2.5,,36.9,39.0,38.6,33.9,,449.9,481.2,502.2,442.9,,1.8,1.7,1.9,2.3,,44.1,44.7,45.3,41.7,,263.7,270.9,272.2,254.1,,1.8,1.6,1.9,2.4,,33.6,35.8,35.5,30.7,,387.3,423.6,443.3,387.0,,1.8,1.8,2.0,2.3,,34.9,42.3,32.7,27.6,,45.7,62.1,57.2,44.7,,1.8,1.8,1.7,2.0,,37.4,38.5,39.3,35.0,,605.3,632.4,658.3,596.4,,1.8,1.7,2.0,2.4
,,Guanajuato,37.1,39.6,43.4,32.9,,696.3,773.1,869.3,619.4,,2.1,2.1,2.2,2.4,,40.4,42.4,42.4,33.1,,"1,642.6","1,746.7","1,780.4","1,454.3",,1.9,1.9,2.0,2.2,,46.2,47.3,48.2,39.2,,951.2,976.8,881.7,775.5,,1.9,1.9,2.0,2.2,,35.7,38.5,40.4,30.2,,"1,387.8","1,542.9","1,768.0","1,298.2",,2.0,2.1,2.1,2.3,,48.9,48.7,47.3,30.0,,212.1,212.3,250.6,164.1,,2.1,2.2,2.1,2.2,,38.6,40.9,42.3,33.3,,"2,126.9","2,307.4","2,399.1","1,909.6",,2.0,2.0,2.1,2.3
,,Guerrero,69.1,70.5,68.6,62.9,,731.9,758.5,757.2,661.0,,2.8,3.0,3.1,3.4,,65.8,66.7,65.4,59.3,,"1,586.4","1,620.1","1,606.0","1,512.3",,2.7,2.9,3.0,3.3,,74.2,75.0,74.6,68.8,,931.9,924.8,902.5,832.3,,2.6,2.8,2.9,3.2,,62.6,64.0,62.2,56.1,,"1,386.5","1,453.7","1,460.7","1,341.0",,2.8,3.0,3.1,3.3,,61.2,67.9,56.7,54.8,,200.2,209.2,189.3,210.2,,2.9,3.2,3.0,3.2,,67.4,67.9,67.4,61.0,,"2,118.2","2,169.3","2,173.9","1,963.1",,2.7,2.9,3.0,3.3
,,Hidalgo,57.9,49.1,51.6,40.5,,512.3,436.5,479.1,377.6,,2.2,2.2,2.4,2.6,,56.5,50.2,50.4,41.2,,"1,161.7","1,080.8","1,091.5",916.8,,2.3,2.2,2.3,2.6,,63.6,57.3,59.4,48.3,,648.0,566.2,548.9,448.4,,2.1,2.0,2.2,2.5,,53.3,46.3,47.1,38.0,,"1,026.0",951.1,"1,021.7",846.0,,2.4,2.3,2.4,2.7,,61.5,50.2,45.4,38.3,,134.9,142.7,135.8,119.3,,2.8,2.7,2.5,2.8,,56.5,49.8,51.3,41.3,,"1,539.1","1,374.6","1,434.8","1,175.1",,2.2,2.2,2.3,2.6
