,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuadro 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medición multidimensional de la pobreza*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porcentaje, número de personas y carencias promedio de la población en situación de pobreza por grupos etarios, según entidad federativa, 2016 - 2022, parte II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Población de 5 años o menos1 ,,,,,,,,,,,,,,,Población de 6 a 11 años,,,,,,,,,,,,,,,Población de 12 a 17 años,,,,,,,,,,,,,,,Población de 18 a 29 años,,,,,,,,,,,,,,,Población de 30 a 64 años,,,,,,,,,,,,,,,Población de 65 años o más,,,,,,,,,,,,,
,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,
,,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**
,,Aguascalientes,37.4,32.2,36.2,33.8,,57.9,45.4,45.4,46.7,,1.7,1.5,2.0,2.0,,33.1,30.5,35.7,29.8,,50.9,47.1,53.4,48.9,,1.6,1.5,1.7,1.8,,35.1,30.4,33.7,29.7,,56.9,47.8,55.0,52.2,,1.8,1.7,2.0,2.0,,25.7,25.7,24.2,22.3,,69.2,75.1,75.5,66.6,,1.9,1.8,2.1,2.3,,24.4,22.3,23.7,19.4,,121.3,117.4,135.7,114.4,,1.8,1.6,1.9,2.0,,31.0,27.3,28.3,19.5,,25.2,28.0,31.6,23.2,,1.8,1.7,1.8,1.9
,,Baja California,29.4,30.2,30.7,18.9,,99.8,109.6,94.7,47.7,,2.0,2.0,1.9,2.3,,30.2,31.4,32.1,17.1,,117.0,124.6,116.1,62.7,,1.7,1.8,1.8,2.3,,27.0,26.5,27.6,18.0,,118.1,99.0,106.1,67.1,,1.8,1.9,1.9,2.4,,18.9,23.1,20.2,12.6,,141.9,186.3,156.7,103.3,,2.0,2.0,2.1,2.3,,19.6,19.1,19.5,11.0,,299.1,297.7,321.1,187.4,,1.8,1.9,2.0,2.2,,23.7,27.1,18.7,14.0,,43.6,67.0,57.0,42.8,,1.9,1.8,1.7,2.0
,,Baja California Sur,28.1,24.1,36.9,19.7,,19.6,16.8,25.1,12.1,,2.1,2.2,2.1,2.0,,26.7,25.1,35.0,19.4,,21.8,19.8,28.4,14.7,,1.9,1.8,1.8,2.0,,28.7,22.0,31.8,15.6,,22.2,17.8,26.5,13.1,,2.0,2.0,1.9,1.8,,18.8,15.9,25.5,11.7,,26.9,25.2,39.9,19.5,,2.0,2.2,2.2,2.1,,20.4,15.5,24.6,11.4,,63.4,50.4,88.5,44.3,,2.0,2.0,2.1,2.1,,29.0,24.1,25.2,12.8,,11.3,11.3,15.0,8.5,,1.9,1.8,1.9,2.0
,,Campeche,56.3,59.2,61.2,56.6,,52.0,57.0,53.5,47.8,,2.3,2.5,2.5,2.7,,54.7,57.9,60.1,56.5,,51.1,55.1,57.8,61.6,,2.3,2.4,2.4,2.6,,52.5,51.5,57.7,52.0,,49.9,46.9,54.9,51.9,,2.4,2.3,2.5,2.7,,43.3,49.4,51.3,44.4,,72.2,87.2,94.4,78.5,,2.4,2.5,2.6,2.8,,39.8,43.9,45.4,39.9,,140.3,158.6,181.7,160.8,,2.4,2.4,2.5,2.8,,45.5,43.6,42.0,36.5,,26.0,26.0,30.2,28.4,,2.6,2.6,2.5,2.5
,,Coahuila de Zaragoza,35.0,34.7,32.9,25.7,,118.9,109.0,96.7,79.6,,1.7,1.9,2.0,2.0,,31.2,30.0,29.6,23.0,,106.3,102.9,98.8,78.1,,1.7,1.7,1.8,1.9,,30.2,29.6,29.7,21.6,,100.2,103.1,90.5,72.6,,1.8,1.9,1.9,2.2,,26.3,24.0,25.7,18.1,,146.6,137.2,162.2,111.8,,2.0,2.0,2.1,2.2,,22.5,20.8,22.1,14.9,,264.8,256.3,290.8,207.8,,1.8,1.8,2.0,2.0,,29.6,28.7,25.0,17.5,,62.9,69.6,73.2,47.3,,1.6,1.6,1.7,1.7
,,Colima,42.3,38.9,34.8,25.4,,30.7,26.4,20.4,14.7,,1.9,1.9,1.9,1.9,,40.6,38.8,36.0,26.0,,32.5,27.9,26.5,20.1,,1.9,1.9,1.9,1.9,,36.2,37.2,32.6,26.1,,25.7,28.4,23.1,21.8,,2.0,1.9,1.9,1.9,,29.7,27.2,25.8,16.5,,40.5,40.1,36.7,23.8,,2.2,2.1,2.1,2.1,,28.3,26.2,22.9,19.0,,81.1,78.4,72.2,64.5,,2.0,2.0,2.0,2.1,,32.5,31.2,23.4,19.7,,17.0,18.6,17.1,13.4,,2.0,2.0,2.1,1.8
,,Chiapas,84.5,85.5,83.6,79.3,,559.0,583.2,497.8,516.4,,2.6,2.9,2.9,3.2,,84.6,85.8,84.3,79.4,,598.9,638.4,588.6,634.8,,2.4,2.5,2.6,3.0,,83.8,82.3,80.3,72.6,,537.3,578.1,540.9,480.0,,2.6,2.6,2.9,3.2,,75.8,77.8,75.8,66.1,,788.3,796.1,800.7,643.1,,2.7,2.9,3.0,3.3,,71.7,71.3,70.7,60.9,,"1,295.2","1,344.8","1,489.7","1,315.4",,2.7,2.8,2.9,3.2,,79.6,74.4,65.9,54.8,,257.9,225.4,300.4,249.0,,2.8,3.0,3.0,3.0
,,Chihuahua,39.4,39.0,33.7,24.8,,151.4,136.8,111.8,74.1,,2.0,1.9,2.0,2.2,,36.8,32.9,32.1,22.9,,158.7,133.8,124.9,84.9,,1.8,1.7,1.9,2.0,,32.9,27.8,31.3,22.3,,141.0,115.3,125.2,91.3,,1.9,1.9,2.0,2.2,,27.8,23.4,23.1,16.1,,189.6,172.3,173.7,122.9,,2.0,2.0,2.1,2.3,,26.0,22.2,21.7,14.6,,373.8,328.1,341.7,238.3,,1.9,1.9,2.0,2.2,,38.6,31.8,23.7,17.2,,89.5,94.6,75.1,57.5,,2.0,1.8,2.0,1.9
