entidad,anio,Ins_total,Ins_Hombres,Ins_Mujeres,Total,Hombres,Mujeres,prct_Total,prct_Hombres,prct_Mujeres,entidad_etiqueta,fecha
Aguascalientes,2011,516332,225314,291018,764579,352016,412563,67.53,64.01,70.54,Aguascalientes,2011-01-01
Baja California,2011,1542158,759109,783049,2206528,1143615,1062913,69.89,66.38,73.67,Baja California,2011-01-01
Baja California Sur,2011,197367,86938,110429,453125,234364,218761,43.56,37.1,50.48,Baja California Sur,2011-01-01
Campeche,2011,357278,152177,205101,561712,266898,294814,63.61,57.02,69.57,Campeche,2011-01-01
Coahuila de Zaragoza,2011,1446756,670816,775940,1853555,917385,936170,78.05,73.12,82.88,Coahuila,2011-01-01
Colima,2011,306033,132592,173441,454938,214783,240155,67.27,61.73,72.22,Colima,2011-01-01
Chiapas,2011,1828178,811277,1016901,2941726,1399534,1542192,62.15,57.97,65.94,Chiapas,2011-01-01
Chihuahua,2011,2055551,961428,1094123,2388904,1135102,1253802,86.05,84.7,87.26,Chihuahua,2011-01-01
Ciudad de México,2011,5906718,2775005,3131713,6616535,3122179,3494356,89.27,88.88,89.62,Ciudad de México,2011-01-01
Durango,2011,850507,394028,456479,1057990,508385,549605,80.39,77.51,83.06,Durango,2011-01-01
Guanajuato,2011,2493296,1182335,1310961,3575351,1724450,1850901,69.74,68.56,70.83,Guanajuato,2011-01-01
Guerrero,2011,1674383,741641,932742,2041141,918713,1122428,82.03,80.73,83.1,Guerrero,2011-01-01
Hidalgo,2011,1231875,531942,699933,1730964,786188,944776,71.17,67.66,74.08,Hidalgo,2011-01-01
Jalisco,2011,3505993,1550873,1955120,4978924,2340097,2638827,70.42,66.27,74.09,Jalisco,2011-01-01
México,2011,9608570,4617438,4991132,10553146,5026998,5526148,91.05,91.85,90.32,Estado de México,2011-01-01
Michoacán de Ocampo,2011,1899387,796517,1102870,2852078,1318504,1533574,66.6,60.41,71.92,Michoacán,2011-01-01
Morelos,2011,995835,424423,571412,1205950,540603,665347,82.58,78.51,85.88,Morelos,2011-01-01
Nayarit,2011,529782,235506,294276,741213,358197,383016,71.48,65.75,76.83,Nayarit,2011-01-01
Nuevo León,2011,2930276,1389176,1541100,3286530,1592932,1693598,89.16,87.21,91.0,Nuevo León,2011-01-01
Oaxaca,2011,1625092,756845,868247,2412853,1143496,1269357,67.35,66.19,68.4,Oaxaca,2011-01-01
Puebla,2011,2763519,1228890,1534629,3650931,1690319,1960612,75.69,72.7,78.27,Puebla,2011-01-01
Querétaro,2011,652200,261719,390481,1215080,537409,677671,53.68,48.7,57.62,Querétaro,2011-01-01
Quintana Roo,2011,672882,322498,350384,930452,473393,457059,72.32,68.12,76.66,Quintana Roo,2011-01-01
San Luis Potosí,2011,1241753,590248,651505,1687339,822367,864972,73.59,71.77,75.32,San Luis Potosí,2011-01-01
Sinaloa,2011,1532302,711126,821176,1926834,930370,996464,79.52,76.43,82.41,Sinaloa,2011-01-01
Sonora,2011,1112528,525930,586598,1816418,927860,888558,61.25,56.68,66.02,Sonora,2011-01-01
Tabasco,2011,1213639,604827,608812,1417844,712084,705760,85.6,84.94,86.26,Tabasco,2011-01-01
Tamaulipas,2011,1900697,899882,1000815,2262286,1107401,1154885,84.02,81.26,86.66,Tamaulipas,2011-01-01
Tlaxcala,2011,488319,211948,276371,752234,347648,404586,64.92,60.97,68.31,Tlaxcala,2011-01-01
Veracruz de Ignacio de la Llave,2011,3654977,1635179,2019798,5142364,2424781,2717583,71.08,67.44,74.32,Veracruz,2011-01-01
Yucatán,2011,677082,268141,408941,1336818,641195,695623,50.65,41.82,58.79,Yucatán,2011-01-01
Zacatecas,2011,760609,335300,425309,964734,436521,528213,78.84,76.81,80.52,Zacatecas,2011-01-01
Aguascalientes,2012,449040,192582,256458,796927,373523,423404,56.35,51.56,60.57,Aguascalientes,2012-01-01
Baja California,2012,1561557,725864,835693,2247880,1102459,1145421,69.47,65.84,72.96,Baja California,2012-01-01
Baja California Sur,2012,179138,74751,104387,471807,223592,248215,37.97,33.43,42.06,Baja California Sur,2012-01-01
Campeche,2012,344305,141355,202950,570462,263768,306694,60.36,53.59,66.17,Campeche,2012-01-01
Coahuila de Zaragoza,2012,1519919,735361,784558,1861117,936764,924353,81.67,78.5,84.88,Coahuila,2012-01-01
Colima,2012,333483,146608,186875,474859,224434,250425,70.23,65.32,74.62,Colima,2012-01-01
Chiapas,2012,2070096,887708,1182388,3073631,1389015,1684616,67.35,63.91,70.19,Chiapas,2012-01-01
Chihuahua,2012,2026149,908584,1117565,2456361,1149025,1307336,82.49,79.07,85.48,Chihuahua,2012-01-01
Ciudad de México,2012,6098708,2852804,3245904,6708730,3185898,3522832,90.91,89.54,92.14,Ciudad de México,2012-01-01
Durango,2012,813503,339478,474025,1096889,485857,611032,74.16,69.87,77.58,Durango,2012-01-01
Guanajuato,2012,2350604,1063700,1286904,3613675,1669923,1943752,65.05,63.7,66.21,Guanajuato,2012-01-01
Guerrero,2012,1603303,668970,934333,2110375,905064,1205311,75.97,73.91,77.52,Guerrero,2012-01-01
Hidalgo,2012,1216094,500949,715145,1781728,750757,1030971,68.25,66.73,69.37,Hidalgo,2012-01-01
Jalisco,2012,3648805,1638975,2009830,5090250,2386071,2704179,71.68,68.69,74.32,Jalisco,2012-01-01
México,2012,9626405,4398927,5227478,10566163,4871993,5694170,91.11,90.29,91.8,Estado de México,2012-01-01
Michoacán de Ocampo,2012,2076832,935015,1141817,2916659,1340742,1575917,71.21,69.74,72.45,Michoacán,2012-01-01
Morelos,2012,1053468,476061,577407,1225772,570793,654979,85.94,83.4,88.16,Morelos,2012-01-01
Nayarit,2012,521278,221973,299305,748588,347251,401337,69.63,63.92,74.58,Nayarit,2012-01-01
Nuevo León,2012,2978117,1346038,1632079,3380441,1570954,1809487,88.1,85.68,90.2,Nuevo León,2012-01-01
Oaxaca,2012,1591950,657992,933958,2493575,1081012,1412563,63.84,60.87,66.12,Oaxaca,2012-01-01
Puebla,2012,2870115,1224970,1645145,3825671,1695251,2130420,75.02,72.26,77.22,Puebla,2012-01-01
Querétaro,2012,696693,275636,421057,1248297,553652,694645,55.81,49.79,60.61,Querétaro,2012-01-01
Quintana Roo,2012,709692,343912,365780,977366,494781,482585,72.61,69.51,75.8,Quintana Roo,2012-01-01
San Luis Potosí,2012,1167512,526895,640617,1723425,814796,908629,67.74,64.67,70.5,San Luis Potosí,2012-01-01
Sinaloa,2012,1564547,700162,864385,1927503,918712,1008791,81.17,76.21,85.69,Sinaloa,2012-01-01
Sonora,2012,1161225,526377,634848,1899033,960008,939025,61.15,54.83,67.61,Sonora,2012-01-01
Tabasco,2012,1274901,598463,676438,1474050,698731,775319,86.49,85.65,87.25,Tabasco,2012-01-01
Tamaulipas,2012,1905325,818797,1086528,2301357,1032594,1268763,82.79,79.3,85.64,Tamaulipas,2012-01-01
Tlaxcala,2012,531696,232754,298942,766593,360665,405928,69.36,64.53,73.64,Tlaxcala,2012-01-01
Veracruz de Ignacio de la Llave,2012,3921075,1737282,2183793,5206153,2372460,2833693,75.32,73.23,77.07,Veracruz,2012-01-01
Yucatán,2012,655316,242482,412834,1381319,629931,751388,47.44,38.49,54.94,Yucatán,2012-01-01
Zacatecas,2012,715708,299555,416153,988293,438910,549383,72.42,68.25,75.75,Zacatecas,2012-01-01
Aguascalientes,2013,515442,230007,285435,827499,397448,430051,62.29,57.87,66.37,Aguascalientes,2013-01-01
Baja California,2013,1648247,733114,915133,2275576,1076381,1199195,72.43,68.11,76.31,Baja California,2013-01-01
Baja California Sur,2013,199834,90198,109636,494923,251880,243043,40.38,35.81,45.11,Baja California Sur,2013-01-01
Campeche,2013,410041,184323,225718,606073,293258,312815,67.66,62.85,72.16,Campeche,2013-01-01
Coahuila de Zaragoza,2013,1576034,705729,870305,1954341,911817,1042524,80.64,77.4,83.48,Coahuila,2013-01-01
Colima,2013,347196,156886,190310,486244,233755,252489,71.4,67.12,75.37,Colima,2013-01-01
Chiapas,2013,2052756,893607,1159149,3123975,1437051,1686924,65.71,62.18,68.71,Chiapas,2013-01-01
Chihuahua,2013,1902204,893757,1008447,2495287,1207632,1287655,76.23,74.01,78.32,Chihuahua,2013-01-01
Ciudad de México,2013,5945606,2910454,3035152,6664266,3347618,3316648,89.22,86.94,91.51,Ciudad de México,2013-01-01
Durango,2013,783552,341533,442019,1123794,515602,608192,69.72,66.24,72.68,Durango,2013-01-01
Guanajuato,2013,2774360,1243691,1530669,3742878,1688421,2054457,74.12,73.66,74.5,Guanajuato,2013-01-01
Guerrero,2013,1746980,774697,972283,2139666,947512,1192154,81.65,81.76,81.56,Guerrero,2013-01-01
Hidalgo,2013,1251723,531737,719986,1841722,837153,1004569,67.96,63.52,71.67,Hidalgo,2013-01-01
Jalisco,2013,3939438,1774807,2164631,5216434,2470256,2746178,75.52,71.85,78.82,Jalisco,2013-01-01
México,2013,10246331,4839562,5406769,10943451,5136471,5806980,93.63,94.22,93.11,Estado de México,2013-01-01
Michoacán de Ocampo,2013,2057526,880644,1176882,2910364,1306582,1603782,70.7,67.4,73.38,Michoacán,2013-01-01
Morelos,2013,1096577,517140,579437,1249257,600331,648926,87.78,86.14,89.29,Morelos,2013-01-01
Nayarit,2013,445656,186419,259237,770633,362906,407727,57.83,51.37,63.58,Nayarit,2013-01-01
Nuevo León,2013,2883299,1345098,1538201,3482301,1658410,1823891,82.8,81.11,84.34,Nuevo León,2013-01-01
Oaxaca,2013,1734973,717731,1017242,2538774,1111723,1427051,68.34,64.56,71.28,Oaxaca,2013-01-01
Puebla,2013,3042827,1306062,1736765,3869810,1739371,2130439,78.63,75.09,81.52,Puebla,2013-01-01
Querétaro,2013,740944,311065,429879,1266266,578317,687949,58.51,53.79,62.49,Querétaro,2013-01-01
Quintana Roo,2013,766292,355079,411213,1009715,491569,518146,75.89,72.23,79.36,Quintana Roo,2013-01-01
San Luis Potosí,2013,1259921,559688,700233,1746166,815251,930915,72.15,68.65,75.22,San Luis Potosí,2013-01-01
Sinaloa,2013,1583370,724771,858599,1999213,971949,1027264,79.2,74.57,83.58,Sinaloa,2013-01-01
Sonora,2013,1177661,520700,656961,1910297,937153,973144,61.65,55.56,67.51,Sonora,2013-01-01
Tabasco,2013,1355491,657846,697645,1517936,755263,762673,89.3,87.1,91.47,Tabasco,2013-01-01
Tamaulipas,2013,1837809,826653,1011156,2349835,1074170,1275665,78.21,76.96,79.27,Tamaulipas,2013-01-01
Tlaxcala,2013,571628,254368,317260,797688,369278,428410,71.66,68.88,74.06,Tlaxcala,2013-01-01
Veracruz de Ignacio de la Llave,2013,4008424,1824019,2184405,5267140,2453117,2814023,76.1,74.36,77.63,Veracruz,2013-01-01
Yucatán,2013,754358,315594,438764,1421180,679282,741898,53.08,46.46,59.14,Yucatán,2013-01-01
Zacatecas,2013,757157,330237,426920,984386,440769,543617,76.92,74.92,78.53,Zacatecas,2013-01-01
Aguascalientes,2014,516865,239824,277041,830115,402466,427649,62.26,59.59,64.78,Aguascalientes,2014-01-01
Baja California,2014,1692583,780700,911883,2285025,1105378,1179647,74.07,70.63,77.3,Baja California,2014-01-01
Baja California Sur,2014,250209,108377,141832,497268,252757,244511,50.32,42.88,58.01,Baja California Sur,2014-01-01
Campeche,2014,411396,179751,231645,597703,283624,314079,68.83,63.38,73.75,Campeche,2014-01-01
Coahuila de Zaragoza,2014,1485271,660098,825173,1910550,887092,1023458,77.74,74.41,80.63,Coahuila,2014-01-01
Colima,2014,310031,128426,181605,490590,226482,264108,63.2,56.7,68.76,Colima,2014-01-01
Chiapas,2014,2119479,885916,1233563,3109939,1388039,1721900,68.15,63.83,71.64,Chiapas,2014-01-01
Chihuahua,2014,1801109,821089,980020,2368009,1130032,1237977,76.06,72.66,79.16,Chihuahua,2014-01-01
Ciudad de México,2014,5968163,2593291,3374872,6725007,3001287,3723720,88.75,86.41,90.63,Ciudad de México,2014-01-01
Durango,2014,830110,327030,503080,1126212,484262,641950,73.71,67.53,78.37,Durango,2014-01-01
Guanajuato,2014,2716639,1107294,1609345,3695098,1618155,2076943,73.52,68.43,77.49,Guanajuato,2014-01-01
Guerrero,2014,1682619,746980,935639,2177517,991508,1186009,77.27,75.34,78.89,Guerrero,2014-01-01
Hidalgo,2014,1301584,558713,742871,1883513,853000,1030513,69.1,65.5,72.09,Hidalgo,2014-01-01
Jalisco,2014,3804273,1588022,2216251,5192251,2349170,2843081,73.27,67.6,77.95,Jalisco,2014-01-01
México,2014,10513162,5180270,5332892,11184994,5479277,5705717,93.99,94.54,93.47,Estado de México,2014-01-01
Michoacán de Ocampo,2014,2131298,944262,1187036,2929255,1350756,1578499,72.76,69.91,75.2,Michoacán,2014-01-01
Morelos,2014,1161857,563965,597892,1310351,639790,670561,88.67,88.15,89.16,Morelos,2014-01-01
Nayarit,2014,442494,178305,264189,795462,360215,435247,55.63,49.5,60.7,Nayarit,2014-01-01
Nuevo León,2014,2797489,1338965,1458524,3461927,1712458,1749469,80.81,78.19,83.37,Nuevo León,2014-01-01
Oaxaca,2014,1959361,864322,1095039,2599628,1227507,1372121,75.37,70.41,79.81,Oaxaca,2014-01-01
Puebla,2014,3090770,1326340,1764430,3943835,1789580,2154255,78.37,74.11,81.9,Puebla,2014-01-01
Querétaro,2014,792943,343837,449106,1294794,604290,690504,61.24,56.9,65.04,Querétaro,2014-01-01
Quintana Roo,2014,780661,342339,438322,1006462,460849,545613,77.56,74.28,80.34,Quintana Roo,2014-01-01
San Luis Potosí,2014,1247921,537166,710755,1760397,782313,978084,70.89,68.66,72.67,San Luis Potosí,2014-01-01
Sinaloa,2014,1455336,601355,853981,1991590,919477,1072113,73.07,65.4,79.65,Sinaloa,2014-01-01
Sonora,2014,1234401,547617,686784,1919739,942512,977227,64.3,58.1,70.28,Sonora,2014-01-01
Tabasco,2014,1365603,611473,754130,1528812,698090,830722,89.32,87.59,90.78,Tabasco,2014-01-01
Tamaulipas,2014,1942495,867143,1075352,2370221,1078536,1291685,81.95,80.4,83.25,Tamaulipas,2014-01-01
