,estado,anio,porc_pob_3_21_no_asist_sin_oblig,porc_pob_16mas_sin_secu,porc_pob_16mas_sin_prim,porc_tasa_inasistencia_3_15,porc_tasa_inasistencia_16_21,porc_seg_aliment,porc_inseg_aliment_leve,porc_inseg_aliment_mode,porc_inseg_aliment_seve,porc_limit_consumo,porc_carencia_menor18_x,porc_carencia_menor18_y,porc_carencia_6_11_x,porc_carencia_12_17_x,porc_carencia_menor18,porc_carencia_6_11_y,porc_carencia_12_17_y
0,Aguascalientes,2016,15.1,13.9,20.0,9.7,45.9,65.5,17.3,9.6,7.6,1.6,227.6,227.6,7.6,227.6,227.6,7.6,227.6
1,Aguascalientes,2018,15.7,11.8,20.0,9.4,50.2,72.3,14.7,7.4,5.6,1.3,202.5,202.5,5.6,202.5,202.5,5.6,202.5
2,Aguascalientes,2020,17.0,10.6,18.2,10.0,54.7,67.0,15.5,9.9,7.5,1.5,222.7,222.7,7.5,222.7,222.7,7.5,222.7
3,Aguascalientes,2022,18.0,10.1,18.4,9.3,60.7,72.2,12.6,7.7,7.5,1.1,187.3,187.3,7.5,187.3,187.3,7.5,187.3
4,Baja California,2016,12.9,15.3,15.6,10.1,28.4,72.7,12.3,8.7,6.2,2.1,446.1,446.1,6.2,446.1,446.1,6.2,446.1
5,Baja California,2018,16.1,16.0,17.4,11.4,40.9,74.9,11.0,7.9,6.3,1.0,411.7,411.7,6.3,411.7,411.7,6.3,411.7
6,Baja California,2020,17.8,14.2,16.4,11.3,51.3,71.1,16.3,8.0,4.6,1.4,614.9,614.9,4.6,614.9,614.9,4.6,614.9
7,Baja California,2022,15.7,14.0,15.5,11.2,46.2,83.1,8.0,5.6,3.2,1.4,307.4,307.4,3.2,307.4,307.4,3.2,307.4
8,Baja California Sur,2016,11.6,14.4,17.7,8.5,30.6,64.4,16.4,11.4,7.8,2.0,118.6,118.6,7.8,118.6,118.6,7.8,118.6
9,Baja California Sur,2018,12.1,13.9,16.2,7.7,36.0,66.5,15.7,10.3,7.5,1.6,119.3,119.3,7.5,119.3,119.3,7.5,119.3
10,Baja California Sur,2020,12.1,12.4,18.4,7.2,43.0,59.8,17.5,13.8,8.9,1.7,141.8,141.8,8.9,141.8,141.8,8.9,141.8
11,Baja California Sur,2022,12.3,11.2,16.8,7.3,43.0,74.5,11.9,7.9,5.8,1.3,99.9,99.9,5.8,99.9,99.9,5.8,99.9
12,Campeche,2016,11.2,14.6,27.5,6.9,33.7,52.6,21.8,14.9,10.7,5.6,187.0,187.0,10.7,187.0,187.0,10.7,187.0
13,Campeche,2018,16.7,14.7,27.6,10.8,44.7,52.0,20.6,16.0,11.5,4.4,180.8,180.8,11.5,180.8,180.8,11.5,180.8
14,Campeche,2020,15.1,14.7,26.7,8.9,47.9,53.2,22.3,15.5,9.0,3.7,208.4,208.4,9.0,208.4,208.4,9.0,208.4
15,Campeche,2022,15.0,14.9,28.9,8.6,51.7,63.4,16.6,10.5,9.5,3.8,157.4,157.4,9.5,157.4,157.4,9.5,157.4
16,Chiapas,2016,16.1,33.5,47.4,10.9,47.7,51.0,29.6,13.1,6.3,5.6,"1,532.4","1,532.4",6.3,"1,532.4","1,532.4",6.3,"1,532.4"
17,Chiapas,2018,20.2,34.0,48.6,13.0,55.3,47.8,29.8,14.6,7.8,4.8,"1,593.8","1,593.8",7.8,"1,593.8","1,593.8",7.8,"1,593.8"
18,Chiapas,2020,21.5,34.4,47.2,13.5,62.8,51.4,27.4,12.3,8.8,5.0,"1,532.8","1,532.8",8.8,"1,532.8","1,532.8",8.8,"1,532.8"
19,Chiapas,2022,19.6,35.9,45.0,13.2,61.7,56.4,26.4,12.0,5.2,4.8,"1,502.8","1,502.8",5.2,"1,502.8","1,502.8",5.2,"1,502.8"
20,Chihuahua,2016,14.9,16.1,21.8,11.1,38.1,63.4,18.4,9.8,8.3,1.0,662.9,662.9,8.3,662.9,662.9,8.3,662.9
21,Chihuahua,2018,17.5,15.2,19.9,12.2,46.6,68.6,13.7,9.4,8.3,1.0,502.6,502.6,8.3,502.6,502.6,8.3,502.6
22,Chihuahua,2020,17.9,13.2,17.2,12.7,49.9,73.7,13.3,6.8,6.2,0.8,501.7,501.7,6.2,501.7,501.7,6.2,501.7
23,Chihuahua,2022,18.0,12.6,15.6,12.2,50.4,80.1,10.5,4.9,4.4,0.6,400.6,400.6,4.4,400.6,400.6,4.4,400.6
24,Ciudad de México,2016,7.4,7.1,11.1,4.8,20.1,74.2,14.3,7.2,4.3,2.8,"1,305.9","1,305.9",4.3,"1,305.9","1,305.9",4.3,"1,305.9"
25,Ciudad de México,2018,10.2,6.8,10.9,5.6,30.4,73.3,12.8,9.5,4.4,2.1,"1,177.0","1,177.0",4.4,"1,177.0","1,177.0",4.4,"1,177.0"
26,Ciudad de México,2020,10.2,6.3,10.5,7.0,29.4,64.7,19.3,10.4,5.6,2.9,"1,784.8","1,784.8",5.6,"1,784.8","1,784.8",5.6,"1,784.8"
27,Ciudad de México,2022,9.7,6.6,9.5,5.2,33.1,77.0,13.3,6.1,3.6,2.6,"1,236.7","1,236.7",3.6,"1,236.7","1,236.7",3.6,"1,236.7"
28,Coahuila de Zaragoza,2016,13.3,11.0,17.6,8.6,38.7,67.9,16.0,9.1,7.0,1.1,473.1,473.1,7.0,473.1,473.1,7.0,473.1
29,Coahuila de Zaragoza,2018,16.6,9.6,16.7,10.2,49.3,67.7,14.0,10.2,8.1,0.6,428.5,428.5,8.1,428.5,428.5,8.1,428.5
30,Coahuila de Zaragoza,2020,16.3,9.1,15.9,9.0,56.3,68.4,16.4,9.0,6.2,0.6,519.0,519.0,6.2,519.0,519.0,6.2,519.0
31,Coahuila de Zaragoza,2022,15.8,8.6,12.7,9.9,53.0,75.5,11.9,7.2,5.4,0.9,391.0,391.0,5.4,391.0,391.0,5.4,391.0
32,Colima,2016,10.0,16.7,24.2,6.6,32.1,61.3,17.6,12.7,8.4,1.6,123.1,123.1,8.4,123.1,123.1,8.4,123.1
33,Colima,2018,14.1,15.9,24.9,8.7,41.5,62.0,16.3,12.7,8.9,2.6,118.1,118.1,8.9,118.1,118.1,8.9,118.1
34,Colima,2020,16.5,14.1,21.6,9.2,52.0,66.9,16.5,8.8,7.8,1.7,121.1,121.1,7.8,121.1,121.1,7.8,121.1
35,Colima,2022,13.5,13.2,18.7,7.6,46.5,74.5,12.3,8.4,4.8,1.1,94.6,94.6,4.8,94.6,94.6,4.8,94.6
36,Durango,2016,14.0,12.6,21.8,9.2,40.0,62.4,19.0,10.8,7.8,0.5,332.9,332.9,7.8,332.9,332.9,7.8,332.9
37,Durango,2018,16.2,11.9,21.3,8.7,52.5,66.6,14.7,11.0,7.8,0.5,262.9,262.9,7.8,262.9,262.9,7.8,262.9
38,Durango,2020,16.1,10.7,22.7,8.1,58.0,63.1,18.2,10.7,8.0,0.6,337.1,337.1,8.0,337.1,337.1,8.0,337.1
39,Durango,2022,16.6,12.9,20.9,9.2,58.5,62.0,18.2,10.8,9.0,1.0,339.9,339.9,9.0,339.9,339.9,9.0,339.9
40,Estados Unidos Mexicanos,2016,12.3,17.3,25.8,8.1,35.9,59.5,20.6,11.9,8.1,3.5,"24,857.9","24,857.9",8.1,"24,857.9","24,857.9",8.1,"24,857.9"
41,Estados Unidos Mexicanos,2018,15.6,16.7,25.3,8.9,47.6,60.5,19.2,12.0,8.3,3.5,"23,815.5","23,815.5",8.3,"23,815.5","23,815.5",8.3,"23,815.5"
42,Estados Unidos Mexicanos,2020,16.7,16.0,24.3,9.9,51.7,57.8,21.5,12.7,8.1,3.6,"27,205.1","27,205.1",8.1,"27,205.1","27,205.1",8.1,"27,205.1"
43,Estados Unidos Mexicanos,2022,15.9,16.6,23.7,9.2,52.1,66.1,17.7,9.9,6.4,3.5,"22,778.2","22,778.2",6.4,"22,778.2","22,778.2",6.4,"22,778.2"
44,Guanajuato,2016,14.6,20.9,30.8,9.0,43.7,60.4,19.9,11.5,8.3,2.5,"1,180.1","1,180.1",8.3,"1,180.1","1,180.1",8.3,"1,180.1"
45,Guanajuato,2018,18.6,20.1,30.3,10.2,57.7,62.5,16.8,12.0,8.7,2.7,"1,020.3","1,020.3",8.7,"1,020.3","1,020.3",8.7,"1,020.3"
46,Guanajuato,2020,21.6,17.4,29.3,10.7,63.7,56.4,20.9,13.2,9.6,3.8,"1,293.8","1,293.8",9.6,"1,293.8","1,293.8",9.6,"1,293.8"
47,Guanajuato,2022,20.2,17.4,28.1,10.9,62.0,65.7,17.1,10.4,6.9,1.8,"1,071.1","1,071.1",6.9,"1,071.1","1,071.1",6.9,"1,071.1"
48,Guerrero,2016,11.6,26.7,41.1,6.2,41.3,45.7,26.5,16.6,11.3,4.9,919.7,919.7,11.3,919.7,919.7,11.3,919.7
49,Guerrero,2018,14.7,26.4,39.5,6.9,48.5,36.3,28.1,20.5,15.1,7.8,984.8,984.8,15.1,984.8,984.8,15.1,984.8
50,Guerrero,2020,14.5,27.3,41.4,7.4,50.2,37.4,29.3,21.3,12.1,5.8,"1,041.2","1,041.2",12.1,"1,041.2","1,041.2",12.1,"1,041.2"
